Date,Price,Open,High,Low,Vol.,Change %
14-Jul-22,51.29,49.58,51.64,47.99,522.08K,3.45%
13-Jul-22,49.58,47.34,49.66,46.56,601.88K,4.73%
12-Jul-22,47.34,48.7,49.34,47.3,466.30K,-2.79%
11-Jul-22,48.7,52.11,52.2,48.33,458.06K,-6.54%
10-Jul-22,52.11,54.07,55.04,50.74,793.62K,-3.62%
9-Jul-22,54.07,51.27,54.68,51.27,370.00K,5.46%
8-Jul-22,51.27,52.09,53.98,50.81,539.00K,-1.57%
7-Jul-22,52.09,50.34,52.6,49.8,477.98K,3.46%
6-Jul-22,50.35,49.76,51.05,48.99,369.95K,1.19%
5-Jul-22,49.76,52.23,52.41,48.02,567.11K,-4.73%
4-Jul-22,52.23,50.9,52.38,49.71,428.79K,2.61%
3-Jul-22,50.9,50.55,52.03,49.11,319.38K,0.69%
2-Jul-22,50.55,51.15,51.62,49.87,395.50K,-1.17%
1-Jul-22,51.15,53.83,56.15,50.12,606.26K,-4.98%
30-Jun-22,53.83,53.63,53.97,50.22,505.02K,0.37%
29-Jun-22,53.63,52.69,54.37,51.41,451.85K,1.76%
28-Jun-22,52.7,55.86,56.9,52.59,428.60K,-5.59%
27-Jun-22,55.82,56.59,58.6,54.94,397.18K,-1.43%
26-Jun-22,56.63,58.87,60.45,56.63,518.61K,-3.80%
25-Jun-22,58.87,55.83,59.66,54.66,618.25K,5.45%
24-Jun-22,55.83,55.72,57.15,54.52,730.59K,0.20%
23-Jun-22,55.72,52.09,56.6,51.96,994.91K,6.97%
22-Jun-22,52.09,53.53,53.53,50.49,928.09K,-2.69%
21-Jun-22,53.53,52.79,55.65,51.92,1.38M,1.40%
20-Jun-22,52.79,54.29,54.62,51.36,1.98M,-2.76%
19-Jun-22,54.29,47.19,56.05,44.99,2.45M,15.05%
18-Jun-22,47.19,47.64,48.34,41.64,1.91M,-0.94%
17-Jun-22,47.64,44.77,48.38,44.46,1.21M,6.41%
16-Jun-22,44.77,50.65,51.18,44.06,1.64M,-11.61%
15-Jun-22,50.65,46.14,50.89,41.74,2.01M,9.51%
14-Jun-22,46.25,43.4,46.45,40.4,1.54M,6.57%
13-Jun-22,43.4,48,48.3,41.2,1.59M,-9.58%
12-Jun-22,48,52.1,52.6,47.4,751.02K,-7.87%
11-Jun-22,52.1,56.7,57.8,51.8,588.45K,-8.11%
10-Jun-22,56.7,60.3,60.4,55.7,505.28K,-5.97%
9-Jun-22,60.3,61.4,62.4,59.3,296.46K,-1.79%
8-Jun-22,61.4,63.8,64.5,61.2,460.49K,-3.76%
7-Jun-22,63.8,64.4,65.5,60.3,493.59K,-0.93%
6-Jun-22,64.4,63.2,66.5,62.9,374.77K,1.90%
5-Jun-22,63.2,63.7,63.8,61.7,193.58K,-0.94%
4-Jun-22,63.8,62.6,64.3,61.4,189.56K,1.92%
3-Jun-22,62.6,64.5,64.9,61.5,281.72K,-2.95%
2-Jun-22,64.5,62.7,64.8,62.1,374.12K,2.87%
1-Jun-22,62.7,68.3,70.5,61.9,632.94K,-8.20%
31-May-22,68.3,69,69.8,66.8,445.11K,-1.01%
30-May-22,69,63.6,69.5,63.3,612.05K,8.49%
29-May-22,63.6,63,64.4,61.8,315.83K,0.95%
28-May-22,63,61.5,64,61.3,336.60K,2.44%
27-May-22,61.5,63.4,64.1,61,741.05K,-3.00%
26-May-22,63.4,68.3,68.8,60.7,730.43K,-7.17%
25-May-22,68.3,70.2,71.6,68,414.06K,-2.71%
24-May-22,70.2,69,70.7,67,493.24K,1.74%
23-May-22,69,71.6,74,68.4,613.75K,-3.63%
22-May-22,71.6,69.8,72.5,69.4,291.59K,2.58%
21-May-22,69.8,68.6,70.7,67.9,273.90K,1.75%
20-May-22,68.6,72.1,73.4,66.8,755.48K,-4.85%
19-May-22,72.1,66,72.6,64.8,691.12K,9.24%
18-May-22,66,73.2,74.4,65.8,701.68K,-9.84%
17-May-22,73.2,67.2,73.9,67.1,639.74K,8.93%
16-May-22,67.2,71.6,71.6,65,576.97K,-6.15%
15-May-22,71.6,68.9,71.7,66,507.88K,3.92%
14-May-22,68.9,67.9,70.3,64.2,556.92K,1.47%
13-May-22,67.9,64.3,73.2,63.3,1.13M,5.60%
12-May-22,64.3,66.6,69.7,54.9,2.08M,-3.16%
11-May-22,66.4,80.1,82.7,64.7,2.16M,-17.10%
10-May-22,80.1,76.3,84.9,73.5,1.34M,4.98%
9-May-22,76.3,93.9,94.9,75.8,1.08M,-18.74%
8-May-22,93.9,94.3,95.7,91.6,441.26K,-0.32%
7-May-22,94.2,96.8,97.3,92.9,298.10K,-2.69%
6-May-22,96.8,96.9,98.4,93.1,494.01K,-0.10%
5-May-22,96.9,106.3,106.9,96.1,587.11K,-8.84%
4-May-22,106.3,99.4,107.1,99,475.28K,6.94%
3-May-22,99.4,100.7,101.4,97.5,307.96K,-1.29%
2-May-22,100.7,99.2,101.7,98.3,330.39K,1.51%
1-May-22,99.2,95.9,100,94.6,295.50K,3.44%
30-Apr-22,95.9,100.4,101.5,94,344.04K,-4.39%
29-Apr-22,100.3,103.4,104.3,98.4,394.10K,-3.00%
28-Apr-22,103.4,100.6,104.4,99.8,543.89K,2.78%
27-Apr-22,100.6,98.6,101.9,97.8,296.02K,2.03%
26-Apr-22,98.6,104.5,105.4,96.4,369.94K,-5.65%
25-Apr-22,104.5,104.5,104.9,98.8,464.51K,0.00%
24-Apr-22,104.5,105,105.9,103.7,188.78K,-0.48%
23-Apr-22,105,105.4,107.2,104.9,151.70K,-0.38%
22-Apr-22,105.4,106.7,108.6,105.1,307.21K,-1.40%
21-Apr-22,106.9,111.8,114.4,105.6,374.01K,-4.47%
20-Apr-22,111.9,113.8,114.1,110.7,317.78K,-1.67%
